Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2019,0.0,0.0,1.0,4.2,60906,4,35990
2015,0.0,0.0,1.0,7.9,188702,4,14900
2017,0.0,0.0,1.0,4.7,41275,4,34880
2008,0.0,0.0,1.0,8.9,196135,4,8950
2017,0.0,0.0,1.0,8.8,196114,5,36990
2009,0.0,0.0,1.0,10.6,152352,4,19990
2013,0.0,0.0,1.0,6.5,165245,4,16995
2012,0.0,0.0,1.0,11,101222,6,23990
2018,0.0,0.0,1.0,8.8,164863,4,23888
2016,0.0,0.0,1.0,6.1,74113,4,24950
2012,0.0,0.0,1.0,11.3,121948,6,8999
2009,0.0,0.0,1.0,8.2,73989,4,13913
2010,0.0,0.0,1.0,5.5,81608,4,11880
2014,0.0,0.0,1.0,,166136,,23995
2019,0.0,0.0,1.0,5.8,5159,4,43990
2009,0.0,0.0,1.0,10.6,240239,4,15990
2019,0.0,0.0,1.0,7.9,104066,4,26990
2009,0.0,0.0,1.0,,179643,4,12990
2020,0.0,0.0,1.0,6,67712,4,21800
2019,0.0,0.0,1.0,6,19768,4,23990
2018,0.0,0.0,1.0,6.5,62782,4,41990
2016,0.0,0.0,1.0,,183441,,34990
2017,0.0,0.0,1.0,8.5,162384,4,37888
2011,0.0,0.0,1.0,6.8,133360,6,23950
2017,0.0,0.0,1.0,7.4,89044,4,20995
2021,0.0,0.0,1.0,5.8,4758,4,20444
2015,0.0,0.0,1.0,7.4,130569,4,23400
2017,0.0,0.0,1.0,8.8,88363,4,49880
2007,0.0,0.0,1.0,9.6,192415,4,10999
2013,0.0,0.0,1.0,8,223907,4,14913
2012,0.0,0.0,1.0,9,157563,6,16999
2016,0.0,0.0,1.0,8.1,310215,4,21990
2016,0.0,0.0,1.0,5.8,209628,4,13995
2018,0.0,0.0,1.0,11.6,76027,6,41999
2011,0.0,0.0,1.0,7.8,97125,4,11990
2019,0.0,0.0,1.0,6.2,55677,4,24888
2009,0.0,0.0,1.0,8.8,134916,4,9990
2016,0.0,0.0,1.0,7.3,117686,4,26888
2015,0.0,0.0,1.0,6.9,146059,4,11995
2018,0.0,0.0,1.0,8.1,98754,4,24888
2014,0.0,0.0,1.0,9.5,207234,6,19995
2023,0.0,1.0,0.0,6.9,15,4,27690
2010,0.0,0.0,1.0,14.6,176052,8,18999
2015,0.0,0.0,1.0,5.1,79452,4,9800
2012,0.0,0.0,1.0,6.8,139976,4,12990
2015,0.0,0.0,1.0,6.6,98900,4,26888
2016,0.0,0.0,1.0,7,99459,4,34950
2020,0.0,0.0,1.0,10.9,34291,4,37990
2017,0.0,0.0,1.0,7.5,37811,4,39990
2012,0.0,0.0,1.0,8.9,181747,6,11800
2014,0.0,0.0,1.0,,171806,,19999
2020,0.0,0.0,1.0,8,79801,4,46990
2017,0.0,0.0,1.0,8.8,91989,4,34990
2013,0.0,0.0,1.0,6.9,107647,4,16880
2018,0.0,0.0,1.0,7.4,86144,4,21990
2013,0.0,0.0,1.0,7.8,120720,4,16880
2015,0.0,0.0,1.0,6.6,201306,4,12999
2022,0.0,0.0,1.0,6.7,12412,4,24990
2019,0.0,0.0,1.0,8.1,41988,4,52888
2015,0.0,0.0,1.0,7.1,117106,4,21488
2014,0.0,0.0,1.0,,123485,,32900
2014,0.0,0.0,1.0,7.3,85601,4,17999
2007,0.0,0.0,1.0,,310000,,16990
2017,0.0,0.0,1.0,6.6,153986,4,16995
2015,0.0,0.0,1.0,7.8,70759,4,24990
2023,0.0,0.0,1.0,10.7,535,8,119950
2012,0.0,0.0,1.0,8.5,189152,4,39950
2015,0.0,0.0,1.0,5.7,197191,4,12999
2018,0.0,0.0,1.0,8,72640,4,41990
2004,0.0,0.0,1.0,10,187550,4,10995
1995,0.0,0.0,1.0,8.5,204004,4,2995
2016,0.0,0.0,1.0,8.8,226455,5,26000
2016,0.0,0.0,1.0,5.3,103473,4,39950
2019,0.0,0.0,1.0,5.9,75607,4,27990
2009,0.0,0.0,1.0,13,219702,6,7999
2013,0.0,0.0,1.0,4.7,40260,4,22800
2018,0.0,0.0,1.0,4.1,48825,4,27888
2018,0.0,0.0,1.0,7.8,145196,6,81990
2018,0.0,0.0,1.0,7.8,163591,4,29990
2014,0.0,0.0,1.0,9.2,177060,5,27990
2018,0.0,0.0,1.0,7.2,91792,4,39990
2016,0.0,0.0,1.0,3.6,83656,4,17880
2014,0.0,0.0,1.0,6.5,148600,4,14990
2019,0.0,0.0,1.0,8.9,40898,6,32990
2008,0.0,0.0,1.0,9.3,220235,4,8995
2014,0.0,0.0,1.0,6.8,151436,4,12449
2019,0.0,0.0,1.0,,131375,,28888
2009,0.0,0.0,1.0,7.8,53202,4,9999
2006,0.0,0.0,1.0,,122533,,16990
2017,0.0,0.0,1.0,7,73901,4,28990
2010,0.0,0.0,1.0,12.1,252569,6,15900
2013,0.0,0.0,1.0,8.3,180000,6,18888
2011,0.0,0.0,1.0,6.3,196245,4,12999
2018,0.0,0.0,1.0,6.1,73511,4,35950
2010,0.0,0.0,1.0,7.6,209809,4,11999
2019,0.0,0.0,1.0,5.7,53241,4,45000
2017,0.0,0.0,1.0,7,89077,4,27990
